id,codigo,nombre,cantonId
594,1495,TNTE M.RODRIGUEZ LOAYZA,109
595,1450,AMARILLOS,110
596,385,BUENAVISTA,110
597,6530,CHAGUARPAMBA,110
598,1180,EL ROSARIO,110
599,3755,SANTA RUFINA,110
600,4460,27 DE ABRIL /LA NARANJA,111
601,5020,AMALUZA,111
602,320,BELLAVISTA,111
603,1645,EL AIRO,111
604,790,EL INGENIO,111
605,1845,JIMBURA,111
606,3765,SANTA TERESITA,111
607,825,CHANGAIMINA /LA LIBERTAD,112
608,5400,GONZANAMA,112
609,2520,NAMBACOLA,112
610,3045,PURUNUMA /EGUIGUREN,112
611,3270,SACAPALCA,112
612,7525,CARIGAN,113
613,4475,CHANTACO,113
614,975,CHUQUIRIBAMBA,113
615,1135,EL CISNE,113
616,5320,EL SAGRARIO,113
617,6210,EL VALLE,113
618,1405,GUALEL,113
619,1840,JIMBILLA,113
620,2325,MALACATOS/VALLADOLID,113
621,7530,PUNZARA,113
622,1780,QUINARA,113
623,3555,SAN LUCAS,113
624,4540,SAN PEDRO DE VILCABAMBA,113
625,6015,SAN SEBASTIAN,113
626,3770,SANTIAGO,113
627,6100,SUCRE,113
628,3970,TAQUIL /MIGUEL RIOFRIO,113
629,4235,VILCABAMBA/VICTORIA,113
630,4280,YANGANA / ARSENIO CASTILLO,113
631,5385,GRAL.ELOY ALFARO,114
632,2085,LA RAMA,114
633,2145,LA VICTORIA,114
634,5680,MACARA,114
635,3265,SABIANGO,114
636,2120,LA TINGUE,115
637,6730,OLMEDO,115
638,485,CANGONAMA,116
639,995,CASANGA,116
640,5180,CATACOCHA,116
641,1380,GUACHANAMA,116
642,2140,LAURO GUERRERO,116
643,5595,LOURDES,116
644,2630,ORIANGA,116
645,545,SAN ANTONIO,116
646,1000,YAMANA,116
647,1035,12 DE DICIEMBRE,117
648,835,CHAQUINAL,117
649,4545,MILAGROS,117
650,5810,PINDAL /FEDERICO PAEZ,117
651,5005,ALAMOR,118
652,565,CIANO,118
653,270,EL ARENAL,118
654,1155,EL LIMO /MARIANA DE JESUS,118
655,2405,MERCADILLO,118
656,4210,VICENTINO,118
657,360,FUNDOCHAMBA,119
658,6260,QUILANGA /LA PAZ,119
659,3345,SAN ANTONIO DE LAS ARADAS,119
660,1165,EL PARAISO DE CELEN,120
661,1190,EL TABLON,120
662,2280,LLUZHAPA,120
663,2360,MANU,120
664,3340,SAN ANTONIO DE CUMBE,120
665,3600,SAN PABLO DE TENTA,120
666,3665,SAN SEBASTIAN DE YULUC,120
667,6075,SARAGURO,120
668,3815,SELVA ALEGRE,120
669,310,SUMAYPAMBA,120
670,4145,URDANETA/PAQUISHAPA,120
671,2575,NUEVA FATIMA,121
672,6120,SOZORANGA,121
673,3935,TACAMOROS,121
674,2000,BOLASPAMBA,122
675,4605,CAZADEROS,122
676,290,GARZAREAL,122
677,280,LIMONES,122
678,550,MANGAHURCO,122
679,2710,PALETILLAS,122
680,6320,ZAPOTILLO,122
681,5085,BABA,123
682,1460,GUARE,123
683,1740,ISLA DE BEJUCAL,123
684,6830,BARREIRO /SANTA RITA,124
685,520,CARACOL,124
686,5215,CLEMENTE BAQUERIZO,124
687,5285,DR. CAMILO PONCE E.,124
688,6835,EL SALTO,124
689,1265,FEBRES CORDERO,124
690,1525,LA UNION,124
691,2875,PIMOCHA,124
692,150,PATRICIA PILAR,125
693,6465,SN JACINTO DE BUENA FE,125
694,6695,MOCACHE,126
695,4615,LA ESMERALDA,127
696,5640,MONTALVO /SABANETA,127
697,6330,PALENQUE,128
698,5800,PUEBLO VIEJO,129
699,3015,PUERTO PECHICHE,129
700,3510,SAN JUAN,129
701,6690,24 DE MAYO,130
702,6650,GUAYACAN,130
703,4420,LA ESPERANZA,130
704,6645,NICOLAS INFANTE DIAZ,130
705,5855,QUEVEDO,130
706,6115,SAN CAMILO,130
707,4425,SAN CARLOS,130
708,6635,SAN CRISTOBAL,130
709,6655,SIETE DE OCTUBRE,130
710,6640,VENUS DEL RIO QUEVEDO,130
711,6660,VIVA ALFARO,130
712,6915,QUINSALOMA,131
713,5185,CATARAMA,132
714,3175,RICAURTE,132
715,6685,VALENCIA,133
716,7480,10 NOVIEMBRE,134
717,4590,CHACARITA,134
718,4585,LOS ANGELES,134
719,6235,VENTANAS,134
720,4330,ZAPOTAL,134
721,140,ANTONIO SOTOMAYOR,135
722,6245,VINCES,135
723,5150,CALCETA,136
724,240,MEMBRILLO,136
725,3110,QUIROGA,136
726,380,BOYACA,137
727,495,CANUTO,137
728,405,CHIBUNGA,137
729,5250,CHONE,137
730,640,CONVENTO,137
731,1160,ELOY ALFARO,137
732,3170,RICAURTE,137
733,3350,SAN ANTONIO / DEL PELUDO,137
734,6055,SANTA RITA,137
735,6195,4 DE DICIEMBRE,138
736,5300,EL CARMEN,138
737,3635,EL PARAISO / LA 14,138
738,1980,SAN PEDRO DE SUMA,138
739,3632,SANTA MARIA,138
740,1070,WILFRIDO LOOR MOREIRA,138
741,5480,FLAVIO ALFARO,139
742,1600,NOVILLO,139
743,1620,ZAPALLO,139
744,6750,JAMA,140
745,5505,JUNIN,141
746,1030,10 DE AGOSTO,142
747,785,ATAHUALPA,142
748,580,COJIMIES,142
749,6430,PEDERNALES,142
750,1065,BARRAGANETE,143
751,6550,PICHINCHA /GERMUD,143
752,1060,SAN SEBASTIAN,143
753,5885,ROCAFUERTE,144
754,470,CANOA,145
755,6785,SAN VICENTE,145
756,5095,BAHIA DE CARAQUEZ,146
757,840,CHARAPOTO,146
758,5580,LEONIDAS PLAZA G.,146
759,3445,SAN ISIDRO,146
760,2030,ANGEL PEDRO GILER,147
761,265,BACHILLERO,147
762,6170,TOSAGUA,147
763,1570,ARQ.SIXTO DURAN BALLEN,148
764,330,BELLAVISTA,148
765,2555,NOBOA,148
766,6105,SUCRE,148
767,6755,JARAMIJO,149
768,105,AMERICA /LA CERA,150
769,7465,DR. MIGUEL MORAN LUCIO,150
770,1115,EL ANEGADO,150
771,5485,JIPIJAPA,150
772,1880,JULCUY,150
773,560,LA UNION,150
774,7470,MANUEL INOCENCIO PARRALES,150
775,4490,MEMBRILLAL,150
776,2810,PEDRO PABLO GOMEZ,150
777,2990,PUERTO CAYO,150
778,7475,SAN LORENZO DE JIPIJAPA,150
779,6745,ELOY ALFARO,151
780,5570,LOS ESTEROS,151
781,5635,MANTA,151
782,3550,SAN LORENZO,151
783,6135,SAN MATEO,151
784,1800,SANTA MARIANITA,151
785,6155,TARQUI,151
786,7460,ANIBAL SAN ANDRES,152
787,7490,COLORADO,152
788,7500,GENERAL ELOY ALFARO DELGA,152
789,1545,LA PILA,152
790,7495,LEONIDAS PROAÑO,152
791,5665,MONTECRISTI,152
792,6495,OLMEDO /PUCA,153
793,460,CAMPOZANO,154
794,540,CASCOL,154
795,1395,GUALE/STO.DOMINGO,154
796,2090,LASCANO,154
797,5755,PAJAN,154
798,5280,12 DE MARZO,155
799,6770,18 DE OCTUBRE,155
800,10,ABDON CALDERON,155
801,50,ALHAJUELA /BAJO GRANDE,155
802,5030,ANDRES DE VERA,155
803,1925,CHIRIJOS,155
804,5265,COLON,155
805,770,CRUCITA,155
806,6775,FRANCISCO PACHECO,155
807,5845,PICOAZA,155
808,5795,PORTOVIEJO,155
809,2970,PUEBLO NUEVO,155
810,3185,RIO CHICO,155
811,6585,SAN PABLO,155
812,3625,SAN PLACIDO,155
813,6910,SIMON BOLIVAR,155
814,2305,MACHALILLA,156
815,6575,PUERTO LOPEZ,156
816,1920,SALANGO,156
817,220,AYACUCHO,157
818,1610,HONORATO VASQUEZ,157
819,2135,LA UNION,157
820,6725,LODANA,157
821,1105,SAN PABLO,157
822,6030,SANTA ANA,157
823,90,AMAZONAS,158
824,340,BERMEJOS,158
825,350,BOMBOIZA,158
826,880,CHIGUINDA,158
827,1910,EL IDEAL,158
828,5425,GUALAQUIZA,158
829,5655,MERCEDES MOLINA,158
830,2565,NUEVA TARQUI,158
831,3225,ROSARIO,158
832,3580,SAN MIGUEL DE CUYES,158
833,875,CHIGUAZA,159
834,6390,HUAMBOYA,159
835,5390,GRAL. LEONIDAS PLAZA,160
