id,codigo,nombre,parroquiaId
586,0,SIN ZONA,304
587,0,SIN ZONA,305
588,0,SIN ZONA,306
589,0,SIN ZONA,307
590,0,SIN ZONA,308
591,0,SIN ZONA,309
592,0,SIN ZONA,310
593,5,CARABOTA,311
594,1,CHILLA,311
595,4,DUMARI,311
596,3,PEJEYACU,311
597,2,PLAYAS DE DAUCAY,311
598,0,SIN ZONA,312
599,1,EL GUABO,313
600,3,EL RETIRO,313
601,2,TILLALES,313
602,0,SIN ZONA,314
603,4,PAGUA,315
604,1,RIO BONITO,315
605,2,SAN MIGUEL DE BRAZIL,315
606,3,SAN VICENTE,315
607,2,BAJO ALTO,316
608,1,TENDALES,316
609,0,SIN ZONA,317
610,0,SIN ZONA,318
611,0,SIN ZONA,319
612,0,SIN ZONA,320
613,0,SIN ZONA,321
614,1,EL PARAISO,322
615,2,EL TIGRE 1,322
616,1,LA LIBERTAD,323
617,2,PUYANGO DE LA LIBERTAD,323
618,0,SIN ZONA,324
619,1,PLATANILLOS,325
620,2,VALLE HERMOSO,325
621,0,SIN ZONA,326
622,1,9 DE MAYO,327
623,61,CPL EL ORO N.  1,327
624,5,KM. 15,327
625,89,VOTO EN CASA,327
626,4,CORRALITOS,328
627,1,EL CAMBIO,328
628,3,LA UNION COLOMBIANA,328
629,1,EL RETIRO,329
630,3,GUARUMAL 2,329
631,2,NUEVA ESPERANZA,329
632,2,CIUDADELA 10 DE SEPTIEMBRE,330
633,1,JAMBELI,330
634,0,SIN ZONA,331
635,3,LA IBERIA,332
636,1,LA PROVIDENCIA,332
637,4,LOS VERGELES,332
638,2,RAYITO DE LUZ,332
639,89,VOTO EN CASA,332
640,0,SIN ZONA,333
641,89,VOTO EN CASA,333
642,0,SIN ZONA,334
643,0,SIN ZONA,335
644,0,SIN ZONA,336
645,0,SIN ZONA,337
646,0,SIN ZONA,338
647,0,SIN ZONA,339
648,0,SIN ZONA,340
649,0,SIN ZONA,341
650,0,SIN ZONA,342
651,0,SIN ZONA,343
652,8,DUCOS,344
653,2,GALAYACU,344
654,3,LA CADENA,344
655,6,LA PLAYA,344
656,5,MUYUYACU,344
657,1,PROGRESO,344
658,7,RÃJARO,344
659,4,ROSA DE ORO,344
660,0,SIN ZONA,345
661,0,SIN ZONA,346
662,1,CAPIRO,347
663,5,CONCHICOLA,347
664,2,GUERRAS,347
