id,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,cand_9,cand_10,cand_11,cand_12,cand_13,cand_14,cand_15,cand_16,total_suf,blanco,nulo,juntaId
28440,144,0,19,4,1,32,3,1,30,1,1,26,2,0,2,7,322,13,36,38648
28450,103,4,18,13,1,28,1,1,31,1,1,45,2,8,1,13,313,17,25,38649
28460,143,1,12,4,0,26,2,1,28,0,0,30,0,2,2,9,318,30,28,38650
28469,115,1,8,5,2,18,4,3,21,0,0,36,1,2,1,7,252,6,21,38651
28477,140,0,14,2,2,35,2,0,21,0,0,40,0,2,0,7,321,32,24,38652
28487,122,0,10,1,1,8,0,1,27,0,0,40,2,0,1,7,258,14,24,38653
28497,74,2,17,1,0,22,0,2,24,0,0,131,0,4,0,8,328,17,26,38654
28505,86,2,9,3,1,20,1,3,30,1,0,32,0,5,1,1,228,17,16,38655
28515,80,0,9,4,1,25,0,2,14,1,1,19,0,0,0,9,210,11,34,38656
28524,118,3,6,8,1,26,2,5,27,3,2,41,5,6,2,8,304,17,24,38657
28534,43,0,3,1,0,11,0,1,12,0,0,16,1,0,0,2,101,6,5,38658
28545,93,1,18,12,1,28,5,3,42,3,0,55,1,3,1,5,327,17,39,38659
28555,104,3,9,12,2,15,4,3,35,0,2,67,1,4,3,6,318,13,35,38660
28565,88,1,14,7,0,20,7,0,38,0,0,49,2,16,2,13,318,12,49,38661
28574,103,3,10,11,1,24,2,0,44,0,3,64,2,4,3,7,325,17,27,38662
28582,97,0,12,3,0,31,6,1,54,0,0,50,3,5,2,13,328,18,33,38663
28590,99,1,9,13,1,24,1,3,55,1,1,58,1,3,0,8,327,6,43,38664
28597,57,0,5,1,1,20,1,1,31,0,1,37,1,4,1,5,207,6,35,38665
28606,24,2,1,2,0,3,0,0,8,0,0,12,0,1,0,1,63,2,7,38666
27967,87,0,3,2,0,18,6,1,16,0,0,24,0,2,0,3,175,2,11,39596
27977,115,0,1,2,2,22,3,1,13,0,1,24,0,0,0,1,194,0,9,39597
27987,49,0,1,1,0,9,0,1,2,0,0,12,0,2,0,0,86,1,8,39598
27997,45,2,0,0,0,9,3,0,4,0,0,7,0,1,0,0,77,0,6,39599
28005,62,1,0,3,0,13,5,1,13,0,1,27,0,1,0,0,132,0,5,39600
28015,83,1,0,5,1,7,6,0,9,0,0,21,0,2,0,1,144,0,8,39601
28025,30,1,1,2,0,8,1,0,5,0,0,53,0,0,0,1,108,0,6,39602
28034,33,0,0,0,0,4,2,0,4,0,0,14,0,1,0,1,61,0,2,39603
28043,103,0,4,1,0,19,8,1,16,0,0,33,4,1,0,0,211,2,19,39604
28053,113,0,2,3,1,20,4,4,20,0,0,28,1,0,0,3,219,4,16,39605
28063,60,0,4,0,0,22,3,0,15,0,0,26,0,0,0,0,142,4,8,39606
28082,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,0,0,39607
28092,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,39608
28099,30,1,1,0,0,2,2,0,9,0,0,54,2,1,0,0,105,2,1,39609
28108,30,0,0,0,0,9,1,0,4,0,0,49,0,0,0,1,98,1,3,39610
28118,13,0,0,0,0,0,1,0,3,0,0,20,1,0,0,0,40,1,1,39611
28128,7,0,0,0,0,1,0,0,4,0,0,16,1,0,0,0,30,0,1,39612
28138,53,0,0,0,0,10,0,1,11,1,0,43,0,0,0,0,129,1,8,39613
28148,71,1,3,3,0,8,2,1,3,0,0,37,0,0,0,0,139,1,9,39614
28158,63,1,3,0,0,7,3,2,14,0,0,35,1,1,0,0,142,0,12,39615
28167,75,0,1,1,0,8,1,4,7,0,0,49,0,0,0,0,151,2,3,39616
28176,69,0,0,1,0,6,0,0,4,0,0,45,0,0,1,0,130,1,3,39617
28185,66,0,0,1,0,3,0,0,6,0,1,44,0,0,0,1,128,2,4,39618
28194,72,0,1,0,0,7,1,2,10,0,1,39,0,0,0,0,143,3,7,39619
28204,77,2,0,2,0,12,2,0,9,1,2,48,1,0,0,1,162,0,5,39620
28214,48,0,4,2,1,7,2,0,9,1,0,56,1,0,0,1,136,1,4,39621
28224,42,0,0,1,0,3,0,0,7,1,0,35,0,2,0,0,95,0,4,39622
28234,11,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,20,0,1,39623
28244,7,0,0,1,0,1,0,0,2,0,0,16,0,0,0,0,30,0,3,39624
28252,14,1,0,0,0,0,0,0,1,0,0,20,2,0,0,0,38,0,0,39625
28272,3,0,0,0,0,1,1,1,1,0,0,22,0,0,0,1,30,0,0,39626
28280,6,0,0,0,0,2,0,0,3,0,0,21,0,0,0,1,34,0,1,39627
28288,5,0,1,1,0,2,1,0,2,0,0,16,1,0,0,1,30,0,0,39628
28299,6,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,21,0,1,39629
28309,5,0,0,0,0,3,0,0,1,0,0,15,0,0,0,0,26,0,2,39630
28318,9,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,26,0,0,39631
28326,41,2,1,0,0,9,4,0,38,0,0,24,0,1,0,0,133,0,13,39632
28336,58,2,0,2,0,7,0,0,37,1,1,19,0,0,0,0,137,3,6,39633
28343,36,1,0,0,0,4,2,2,52,0,0,24,1,0,1,1,130,3,3,39634
28353,35,2,1,1,0,8,2,0,64,0,1,18,1,0,0,2,145,2,7,39635
28363,43,0,1,0,1,7,0,0,41,0,0,24,0,2,0,5,142,8,10,39636
28371,50,0,1,0,0,5,0,0,35,0,0,24,0,0,0,1,130,3,11,39637
28378,46,0,1,1,1,11,1,4,35,0,2,16,0,0,0,0,130,3,9,39638
28391,49,0,0,3,0,3,0,1,53,0,1,16,1,0,0,2,143,1,13,39639
28400,40,1,1,1,0,7,0,0,39,0,1,25,0,0,0,3,129,3,8,39640
28410,34,0,1,0,0,3,2,1,27,0,0,21,1,0,0,1,103,5,7,39641
28418,36,1,0,0,0,4,2,0,42,0,0,17,0,2,0,0,111,0,7,39642
28427,42,0,0,1,0,3,1,0,33,1,2,17,0,0,0,3,111,2,6,39643
28437,23,0,0,0,0,2,1,0,26,0,0,19,0,0,0,2,80,2,5,39644
28447,50,1,0,1,0,6,0,0,42,0,0,7,0,0,1,2,118,2,6,39645
28456,41,1,0,3,0,7,1,1,41,0,0,11,1,0,0,1,122,0,14,39646
28463,38,0,0,3,1,5,0,0,44,0,1,18,0,0,0,1,120,2,7,39647
28473,8,0,0,2,0,3,0,1,14,0,0,3,0,0,0,1,38,2,4,39648
28483,15,1,1,1,0,4,1,1,24,0,0,12,1,0,1,0,71,2,7,39649
28492,29,1,0,2,0,9,0,1,23,0,0,9,1,0,0,2,83,3,3,39650
28502,22,0,1,0,0,10,0,1,23,0,0,13,0,0,0,0,73,1,2,39651
28512,25,1,0,0,0,3,0,1,34,0,0,12,0,0,0,0,79,0,3,39652
28522,29,1,1,0,0,8,2,0,23,0,1,16,1,0,0,0,86,0,4,39653
28532,31,2,2,0,1,8,0,1,20,0,1,6,0,0,0,0,80,3,5,39654
28541,20,0,0,0,0,11,0,0,26,0,0,7,0,1,0,1,70,1,3,39655
28550,30,2,0,0,0,7,0,0,30,0,0,18,0,0,0,0,87,0,0,39656
28560,30,0,2,0,0,3,0,0,21,0,0,9,0,0,0,2,77,0,10,39657
28568,27,0,0,1,0,12,1,0,20,0,0,13,0,0,0,0,80,5,1,39658
28576,16,1,1,0,0,7,1,0,22,0,2,7,0,0,0,1,67,1,8,39659
28585,36,1,0,0,1,3,0,0,21,0,0,3,0,0,0,1,71,0,5,39660
28594,23,2,1,0,0,6,0,1,28,0,0,10,0,0,0,1,80,0,8,39661
28603,34,0,1,1,0,3,0,1,22,0,0,5,0,0,0,1,73,1,4,39662
28610,19,0,0,1,0,7,0,1,20,0,0,16,0,0,0,1,71,0,6,39663
28618,29,1,0,1,0,5,0,0,19,1,0,16,0,0,0,1,78,2,3,39664
28628,19,0,0,0,0,6,0,0,25,0,1,8,0,1,0,1,62,0,1,39665
27984,71,2,4,2,1,38,4,0,43,0,0,64,1,5,0,1,280,1,42,37593
27992,76,3,0,6,1,45,3,0,27,0,0,56,1,2,0,2,244,4,18,37594
28002,74,0,7,1,1,50,12,1,32,1,4,55,2,3,0,9,292,3,38,37595
28010,89,3,4,7,1,43,5,1,44,0,0,37,1,1,0,3,270,5,26,37596
28020,67,5,2,5,2,53,10,1,41,0,0,51,2,1,0,6,275,8,21,37597
28030,73,5,2,10,1,42,2,0,37,0,0,61,1,0,2,7,261,4,14,37598
28039,72,3,3,3,0,46,4,2,37,1,1,53,1,4,0,7,264,4,23,37599
28049,86,1,4,3,0,42,6,2,36,0,1,51,0,5,0,3,272,7,25,37600
28059,83,7,3,4,0,32,4,1,29,1,0,51,3,5,0,9,266,4,30,37601
28068,77,4,2,2,0,50,2,0,39,0,1,45,0,1,1,4,254,4,22,37602
28076,66,4,3,3,0,44,11,1,37,1,0,55,2,6,0,7,278,5,33,37603
28084,68,8,3,2,2,44,2,0,49,0,0,55,3,3,1,2,277,15,19,37604
28096,77,5,2,5,1,52,5,1,39,1,0,52,1,3,1,11,285,4,26,37605
28107,79,1,1,2,0,46,8,3,55,0,3,64,3,0,0,1,290,2,22,37606
28116,85,5,3,1,3,54,1,0,36,0,0,41,1,2,0,4,284,9,39,37607
28124,72,6,1,4,1,40,7,0,38,0,2,47,3,1,0,9,267,11,25,37608
28134,76,5,6,1,0,49,0,3,34,2,0,44,3,3,0,9,274,4,35,37609
28147,55,6,1,4,0,46,3,0,39,2,0,42,2,4,0,3,254,14,31,37610
28155,87,3,3,4,0,67,5,0,33,0,1,48,2,3,1,3,283,3,20,37611
28162,81,4,0,5,0,30,2,1,31,1,1,51,2,3,0,8,261,14,27,37612
28171,63,1,3,0,0,51,3,3,35,0,0,65,4,2,0,3,260,5,22,37613
28180,81,3,0,4,1,43,3,1,45,0,1,52,4,0,0,6,269,2,23,37614
28190,68,4,0,5,1,48,3,2,46,1,0,43,3,5,0,3,277,6,39,37615
28200,76,3,2,4,0,44,3,1,47,0,1,56,0,2,0,9,281,12,21,37616
28210,86,4,0,7,0,35,0,1,38,0,1,43,5,0,0,6,260,3,31,37617
28219,89,0,1,7,0,37,1,1,32,0,2,42,2,1,0,8,258,5,30,37618
28229,94,3,0,4,2,41,3,4,38,0,1,43,3,6,0,4,281,9,26,37619
28238,67,2,1,9,0,24,4,2,36,1,0,63,3,0,0,3,231,2,14,37620
28246,18,3,1,1,1,10,0,0,22,0,0,4,0,2,0,3,71,3,3,37621
28256,15,3,0,1,0,10,0,0,22,0,0,13,1,1,0,0,77,6,5,37622
28266,71,1,3,0,1,70,6,1,51,0,0,63,6,5,0,2,314,4,30,37623
28276,71,8,2,4,0,55,7,0,30,1,3,89,3,0,1,2,298,1,21,37624
28285,12,0,2,0,0,11,0,0,4,0,0,13,0,1,1,0,49,0,5,37625
28294,52,1,3,4,0,67,10,1,58,1,0,72,3,4,0,4,314,1,33,37626
28303,79,5,0,2,0,63,5,1,40,1,0,93,1,2,0,3,320,1,24,37627
28311,60,3,4,2,0,68,12,1,40,0,1,79,1,2,0,4,311,6,28,37628
28320,77,4,3,3,0,63,6,6,39,1,2,90,0,4,0,2,308,1,7,37629
28332,70,0,3,1,0,58,9,0,46,0,0,79,2,4,0,6,322,7,37,37630
28342,74,5,5,4,0,61,7,1,44,2,0,77,5,2,0,0,319,13,19,37631
