"parroquiaId","codigo","nombre","no_pobres","pobres","total"
"538","100354","PEÑAHERRERA",250,1390,1640
"539","100355","PLAZA GUTIERREZ",32,464,496
"540","100356","QUIROGA",2180,4248,6428
"534","100357","6 DE JULIO DE CUELLAJE",245,1533,1778
"543","100358","VACAS GALINDO (EL CHURO)",60,638,698
"556","100451","DR. MIGUEL EGAS CABEZAS",895,3975,4870
"557","100452","EUGENIO ESPEJO (CALPAQUI)",909,6437,7346
"174","100453","GONZALEZ SUAREZ",926,4695,5621
"560","100454","PATAQUI",9,260,269
"561","100455","SAN JOSE DE QUICHINCHE",652,7809,8461
"562","100456","SAN JUAN DE ILUMAN",1420,7125,8545
"811","100457","SAN PABLO",2764,7095,9859
"565","100458","SAN RAFAEL",728,4685,5413
"566","100459","SELVA ALEGRE",121,1470,1591
"569","100550","PIMAMPIRO",3343,5707,9050
"567","100551","CHUGA",2,1078,1080
"568","100552","MARIANO ACOSTA",208,1336,1544
"570","100553","SAN FRANCISCO DE SIGSIPA",159,1110,1269
"576","100650","URCUQUI",1868,3310,5178
"571","100651","CAHUASQUI",458,1347,1805
"572","100652","LA MERCED DE BUENOS AIRES",256,1637,1893
"573","100653","PABLO ARENAS",542,1552,2094
"574","100654","SAN BLAS",736,2272,3008
"575","100655","TUMBABIRO",426,1198,1624
"613","110151","CHANTACO",95,1082,1177
"614","110152","CHUQUIRIBAMBA",106,2352,2458
"615","110153","EL CISNE",456,1150,1606
"618","110154","GUALEL",117,1943,2060
"619","110155","JIMBILLA",65,1049,1114
"620","110156","MALACATOS (VALLADOLID)",1562,5457,7019
"623","110157","SAN LUCAS",158,4510,4668
"624","110158","SAN PEDRO DE VILCABAMBA",420,862,1282
"626","110159","SANTIAGO",103,1270,1373
"628","110160","TAQUIL (MIGUEL RIOFRIO)",114,3540,3654
"629","110161","VILCABAMBA (VICTORIA)",1897,2731,4628
"630","110162","YANGANA (ARSENIO CASTILLO)",309,1107,1416
"622","110163","QUINARA",184,1200,1384
"577","110250","CARIAMANGA",8066,12687,20753
"579","110251","COLAISACA",20,1834,1854
"580","110252","EL LUCERO",168,1851,2019
"583","110253","UTUANA",20,1317,1337
"582","110254","SANGILLIN",16,1652,1668
"584","110350","CATAMAYO (LA TOMA)",9882,13256,23138
"585","110351","EL TAMBO",278,4350,4628
"586","110352","GUAYQUICHUMA",35,348,383
"588","110353","SAN PEDRO DE LA BENDITA",808,772,1580
"589","110354","ZAMBI",67,513,580
"590","110450","CELICA",2550,4326,6876
"591","110451","CRUZPAMBA",168,921,1089
"593","110455","POZUL (SAN JUAN DE POZUL",295,2740,3035
"592","110456","SABANILLA",293,2131,2424
"594","110457","TNTE. MAXIMILIANO RODRIG",96,477,573
"597","110550","CHAGUARPAMBA",681,2752,3433
"596","110551","BUENAVISTA",213,1000,1213
"598","110552","EL ROSARIO",25,470,495
"599","110553","SANTA RUFINA",81,1127,1208
"595","110554","AMARILLOS",43,619,662
"601","110650","AMALUZA",841,2533,3374
"602","110651","BELLAVISTA",18,2314,2332
"605","110652","JIMBURA",114,2202,2316
"606","110653","SANTA TERESITA",62,1694,1756
"600","110654","27 DE ABRIL",166,1896,2062
